Número;Datos - generales;;;;;;;;;;;;;;;;;;;;;;;;
359;5;;;;;;;;;;;;;;;;;;;;;;;;
360;4;;;;;;;;;;;;;;;;;;;;;;;;
361;5;;;;;;;;;;;;;;;;;;;;;;;;
362;4;;;;;;;;;;;;;;;;;;;;;;;;
363;4;;;;;;;;;;;;;;;;;;;;;;;;
364;4;;;;;;;;;;;;;;;;;;;;;;;;
365;6;;;;;;;;;;;;;;;;;;;;;;;;
366;8;;;;;;;;;;;;;;;;;;;;;;;;
367;6;;;;;;;;;;;;;;;;;;;;;;;;
368;7;;;;;;;;;;;;;;;;;;;;;;;;
369;5;;;;;;;;;;;;;;;;;;;;;;;;
370;1;;;;;;;;;;;;;;;;;;;;;;;;
371;3;;;;;;;;;;;;;;;;;;;;;;;;
372;6;;;;;;;;;;;;;;;;;;;;;;;;
373;4;;;;;;;;;;;;;;;;;;;;;;;;
374;5;;;;;;;;;;;;;;;;;;;;;;;;
375;4;;;;;;;;;;;;;;;;;;;;;;;;
376;3;;;;;;;;;;;;;;;;;;;;;;;;
377;5;;;;;;;;;;;;;;;;;;;;;;;;
378;4;;;;;;;;;;;;;;;;;;;;;;;;
379;3;;;;;;;;;;;;;;;;;;;;;;;;
380;4;;;;;;;;;;;;;;;;;;;;;;;;
381;6;;;;;;;;;;;;;;;;;;;;;;;;
382;8;;;;;;;;;;;;;;;;;;;;;;;;
383;5;;;;;;;;;;;;;;;;;;;;;;;;
384;6;;;;;;;;;;;;;;;;;;;;;;;;
385;5;;;;;;;;;;;;;;;;;;;;;;;;
386;7;;;;;;;;;;;;;;;;;;;;;;;;
387;5;;;;;;;;;;;;;;;;;;;;;;;;
388;4;;;;;;;;;;;;;;;;;;;;;;;;
389;6;;;;;;;;;;;;;;;;;;;;;;;;
390;5;;;;;;;;;;;;;;;;;;;;;;;;
391;4;;;;;;;;;;;;;;;;;;;;;;;;
392;4;;;;;;;;;;;;;;;;;;;;;;;;
393;10;;;;;;;;;;;;;;;;;;;;;;;;
394;8;;;;;;;;;;;;;;;;;;;;;;;;
395;3;;;;;;;;;;;;;;;;;;;;;;;;
396;7;;;;;;;;;;;;;;;;;;;;;;;;
397;5;;;;;;;;;;;;;;;;;;;;;;;;
398;5;;;;;;;;;;;;;;;;;;;;;;;;
399;4;;;;;;;;;;;;;;;;;;;;;;;;
400;4;;;;;;;;;;;;;;;;;;;;;;;;
401;6;;;;;;;;;;;;;;;;;;;;;;;;
402;4;;;;;;;;;;;;;;;;;;;;;;;;
403;3;;;;;;;;;;;;;;;;;;;;;;;;
404;6;;;;;;;;;;;;;;;;;;;;;;;;
405;6;;;;;;;;;;;;;;;;;;;;;;;;
406;6;;;;;;;;;;;;;;;;;;;;;;;;
407;6;;;;;;;;;;;;;;;;;;;;;;;;
408;7;;;;;;;;;;;;;;;;;;;;;;;;
409;4;;;;;;;;;;;;;;;;;;;;;;;;
410;4;;;;;;;;;;;;;;;;;;;;;;;;
411;5;;;;;;;;;;;;;;;;;;;;;;;;
412;4;;;;;;;;;;;;;;;;;;;;;;;;
413;5;;;;;;;;;;;;;;;;;;;;;;;;
414;3;;;;;;;;;;;;;;;;;;;;;;;;
415;4;;;;;;;;;;;;;;;;;;;;;;;;
416;8;;;;;;;;;;;;;;;;;;;;;;;;
417;5;;;;;;;;;;;;;;;;;;;;;;;;
418;3;;;;;;;;;;;;;;;;;;;;;;;;
419;6;;;;;;;;;;;;;;;;;;;;;;;;
420;6;;;;;;;;;;;;;;;;;;;;;;;;
421;6;;;;;;;;;;;;;;;;;;;;;;;;
422;5;;;;;;;;;;;;;;;;;;;;;;;;
423;5;;;;;;;;;;;;;;;;;;;;;;;;
424;5;;;;;;;;;;;;;;;;;;;;;;;;
425;6;;;;;;;;;;;;;;;;;;;;;;;;
426;4;;;;;;;;;;;;;;;;;;;;;;;;
427;6;;;;;;;;;;;;;;;;;;;;;;;;
428;6;;;;;;;;;;;;;;;;;;;;;;;;
429;7;;;;;;;;;;;;;;;;;;;;;;;;
430;6;;;;;;;;;;;;;;;;;;;;;;;;
431;6;;;;;;;;;;;;;;;;;;;;;;;;
432;6;;;;;;;;;;;;;;;;;;;;;;;;
433;5;;;;;;;;;;;;;;;;;;;;;;;;
434;4;;;;;;;;;;;;;;;;;;;;;;;;
435;2;;;;;;;;;;;;;;;;;;;;;;;;
436;5;;;;;;;;;;;;;;;;;;;;;;;;
437;3;;;;;;;;;;;;;;;;;;;;;;;;
438;6;;;;;;;;;;;;;;;;;;;;;;;;
439;4;;;;;;;;;;;;;;;;;;;;;;;;
440;4;;;;;;;;;;;;;;;;;;;;;;;;
441;6;;;;;;;;;;;;;;;;;;;;;;;;
442;5;;;;;;;;;;;;;;;;;;;;;;;;
443;3;;;;;;;;;;;;;;;;;;;;;;;;
444;4;;;;;;;;;;;;;;;;;;;;;;;;
445;5;;;;;;;;;;;;;;;;;;;;;;;;
446;5;;;;;;;;;;;;;;;;;;;;;;;;
447;6;;;;;;;;;;;;;;;;;;;;;;;;
448;5;;;;;;;;;;;;;;;;;;;;;;;;
449;7;;;;;;;;;;;;;;;;;;;;;;;;
450;5;;;;;;;;;;;;;;;;;;;;;;;;
451;3;;;;;;;;;;;;;;;;;;;;;;;;
452;3;;;;;;;;;;;;;;;;;;;;;;;;
453;5;;;;;;;;;;;;;;;;;;;;;;;;
454;5;;;;;;;;;;;;;;;;;;;;;;;;
455;5;;;;;;;;;;;;;;;;;;;;;;;;
456;4;;;;;;;;;;;;;;;;;;;;;;;;
457;10;;;;;;;;;;;;;;;;;;;;;;;;
458;5;;;;;;;;;;;;;;;;;;;;;;;;
459;6;;;;;;;;;;;;;;;;;;;;;;;;
460;4;;;;;;;;;;;;;;;;;;;;;;;;
461;3;;;;;;;;;;;;;;;;;;;;;;;;
